Programa;Variable_Adminicion;Variable_profesorado;Variable_formacion;Variable_infraestructura;Variable_economia;Variable_Logistica;Profesionalidad;Personal_directivo;Valoracion_integral
Ingenieria Agricola;9;8;9;9;9;9;9;8;7
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Administracion de Empresas;7;7;7;7;7;7;7;7;7
Hidraulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;8;9;9
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9
Matematica;7;9;9;9;8,5;8;8;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;8;9;9;9;9;9;9;9
Agroindustria;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;8;8;8;8;9;8
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;7;8,5;8;8;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;8;8;8;7;8;8;8;8;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;7;8;8;8;6;8;8;8;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;8;9;8;7,5;8;9;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;8;9;9;9;9;9
Agronomia, Mencion Mecanizacion Agricola;9;9;9;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;8;8;8;8;8;8;8;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;9;9;8;8;9;9;9;9
Ingenieria Agricola;8;8;8;8;8;8;8;8;8
Desarrollo Local;8;8;8;7;8;8;8;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;8;9;9;8,5;8;8;9;9
Optometria, Mencion Contactologia y Terapia Visual;8;7;8;7;7,5;7;7;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;8;8;8;8;8;8;8;8
Matematica;9;9;9;9;9;9;9;9;9
Matematica;8;7;8;7;7;7;8;7;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;8;8;9;8;8;8;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;8;7;8;6;7,5;7;8;9;7
Administracion de Empresas;9;9;9;9;8,5;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;7;7;8;5;9;7;7;7;7
Ingenieria Agricola;9;9;9;9;9;9;9;9;9
Optometria, Mencion Contactologia y Terapia Visual;8;8;9;7;8;8;9;9;8
Matematica;8;7;8;8;8;8;7;7;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;7;7;7;7;5;7;7;7;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;8;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;8;8;8;8;8;8;8;8
Agronomia, Mencion Agricultura Sostenible;8;8;8;6;7,5;7;8;7;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;8;8;8;9;8;9;9;9
Ingenieria Quimica, Mencion Alimentos;9;9;8;8;8;8;8;8;8
Hidraulica, Mencion Disenos de Obras Hidraulicas;8;5;6;7;7;6;7;8;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;8
Pedagogia, Mencion Bachillerato Tecnico;9;6;6;6;6;8;8;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;6;6;6;6;8;8;8;8
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;3;9;9;8
Agronomia, Mencion Mecanizacion Agricola;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;9;8,5;9;9;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Matematica;9;9;9;9;9;9;9;9;9
Agroindustria;8;7;5;2;5,5;5;6;9;4
Matematica;8;7;7;9;7,5;9;9;9;9
Matematica;9;9;8;9;9;9;9;9;9
Matematica;9;9;9;9;9;9;9;9;9
Agronomia, Mencion Mecanizacion Agricola;1;1;1;1;2;1;1;1;1
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;9;7;7;7;8;9;6;9;7
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;9;9;9;9;9;9;9;9;9
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;9;9;9;9;9;9;9;8;8
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;8;8;8;9;8,5;8;9;9;8
Hidraulica, Mencion Disenos de Obras Hidraulicas;9;8;9;7;8;9;9;9;9
Agronomia, Mencion Agricultura Sostenible;8;7;7;7;7;7;7;7;8
Quimica, Mencion Quimica Ambiental;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;9;9;9;8;8;8;9;9;8
Hidraulica, Mencion Disenos de Obras Hidraulicas;9;8;9;8;7;8;8;9;9
Hidraulica, Mencion Gestion de Recursos Hidricos;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Procesos Quimicos;9;9;9;9;9;9;9;9;9
Quimica, Mencion Quimica Ambiental;8;9;9;8;8;8;9;9;9
Ingenieria Agricola;9;7;7;8;9;7;7;7;7
Ingenieria Quimica, Mencion Alimentos;7;8;7;5;5;7;7;7;7
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;9;9;9;8;9;9;9;9;9
Educacion, Mencion Ensenanza Basica;9;9;9;8;8;8;8;9;8
Agronomia, Mencion Mecanizacion Agricola;9;8;9;9;9;9;9;9;9
Ingenieria Quimica, Mencion Alimentos;9;9;9;9;9;9;9;9;9
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;7;7;7;8;7;7;7;7;7
Medicina Veterinaria, Mencion Salud y Reproduccion en Especies Productivas;7;7;7;8;7;7;7;7;7
Optometria, Mencion Contactologia y Terapia Visual;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza Basica;9;9;9;8;9;9;9;9;9
Ingenieria Agricola;9;9;9;9;8;8;8;8;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Desarrollo Local;9;3;5;1;5;5;4;7;7
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza Basica;9;9;9;8;8,5;9;9;8;8
Agronomia, Mencion Produccion Agricola Sostenible;8;8;8;9;8,5;8;8;8;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);1;8;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);8;8;8;8;8;8;9;8;8
Agroindustria;9;9;9;8;9;8;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;9;9;8
Educacion, Mencion Ensenanza Basica;9;8;9;7;7;8;9;9;8
Educacion, Mencion Ensenanza Basica;8;9;9;7;8;8;8;8;8
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;9;8;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;8,5;9;9;8;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;8,5;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;8;7;7;7;7;7;8;8;8
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;8;9;9;7;8;8;9;9;9
Estadistica, Mencion Estadistica Aplicada;8;7;8;8;7;8;8;8;8
Administracion de Empresas;8;8;8;8;8;8;8;8;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;8;8;8;8;8;8;8;8
Administracion de Empresas;9;8;8;5;8,5;8;9;9;9
Administracion de Empresas;5;5;6;5;6;6;6;7;7
Matematica;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Administracion de Empresas;8;8;9;9;9;9;9;9;9
Matematica;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Administracion de Empresas;8;9;9;9;9;8;9;9;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;8;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;7;7;7;4;7,5;6;7;6;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Administracion de Empresas;8;8;7;8;8;8;9;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza Basica;9;9;9;9;9;9;9;8;8
Administracion de Empresas;9;9;9;8;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;8;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;8;9;9;9;9;9
Administracion de Empresas;9;9;9;9;8,5;9;9;9;9
Administracion de Empresas;9;7;7;7;7,5;8;8;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;7;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;7;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;8;8;8;5;8;7;9;8;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza Basica;8;9;9;9;9;8;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;8;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;1;1;1;1;1;1;1;1;1
Educacion, Mencion Comunicacion Educativa;8;8;8;8;8;8;8;8;8
Educacion, Mencion Comunicacion Educativa;9;8;8;9;8;8;8;8;8
Educacion, Mencion Comunicacion Educativa;9;9;9;8;8;9;8;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;8;8;8;9;8;8;9;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;8;7;7;7,5;8;8;9;8
Educacion, Mencion Comunicacion Educativa;8;8;9;8;8;8;8;9;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;8;9;8;8;8;8;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;8;8;8;8;8;8;7;8
Educacion, Mencion Comunicacion Educativa;6;6;8;7;6,5;5;6;8;7
Pedagogia, Mencion Bachillerato Tecnico;9;8;9;8;8;8;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;8;9;8;8,5;8;9;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;8;9;8;8;8;8;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;8;9;8;8;8;8;8;8
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;8;8;8;9
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;8;9;8;8;8;8;7;9;8
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);8;9;9;7;7,5;8;8;8;8
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;8,5;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;9;9;9;9;9;9;9;9;9
Educacion, Mencion Ensenanza Basica;8;8;8;8;9;9;9;8;8
Educacion, Mencion Comunicacion Educativa;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Bachillerato Tecnico;8;8;7;8;8;9;9;9;7
Educacion, Mencion Ensenanza Basica;8;8;8;7;8;8;8;8;8
Educacion, Mencion Ensenanza Basica;9;8;7;5;6;5;7;7;8
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;6;7;6;4;6;5;4;4
Pedagogia, Mencion Bachillerato Tecnico;8;5;7;7;6,5;6;6;7;7
Educacion, Mencion Comunicacion Educativa;9;8;8;8;8;8;8;8;9
Matematica;9;9;9;8;9;9;8;9;9
Educacion, Mencion Comunicacion Educativa;9;8;8;9;9;8;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);7;7;7;7;7;7;7;7;7
Educacion, Mencion Ensenanza Basica;1;1;1;1;1;1;1;1;1
Educacion, Mencion Comunicacion Educativa;7;9;9;9;9;9;8;8;8
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;6;8;8;8;9;9
Educacion, Mencion Ensenanza Basica;9;9;9;9;9;9;9;9;9
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Estadistica, Mencion Estadistica Aplicada;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;8;9;8;8;9;9;9;8
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;8;8;8;6;7;6;7;8;8
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;8;8;8;8;8;9;9;8
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;7;7;7;8;8,5;8;8;8;7
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;8;8;8;8;7,5;8;7;8;7
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;8;8;8;8;8;8;9
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;8;9;9;9;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Administracion de Empresas;8;8;7;8;8;8;9;9;8
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);8;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;8;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Educacion, Mencion Comunicacion Educativa;7;8;8;2;5;6;5;6;8
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;9;9;9;8;8;9;9;9;9
Agronomia, Mencion Produccion Agricola Sostenible;9;9;9;9;9;9;9;9;9
Ingenieria Civil, Mencion Construccion de Vivienda Social;9;9;9;9;9;9;9;9;9
Ingenieria Agricola;9;9;9;7;8,5;6;7;9;7
Administracion de Empresas;9;9;9;9;9;9;9;9;9
Pedagogia, Mencion Docencia e Innovacion Educativa (RED Universidad Catolica de Cuenca);9;9;9;8;9;9;9;9;9
Administracion de Empresas;9;8;8;9;8;7;8;8;7
Tecnologias de la Informacion, Mencion Seguridad de Redes y Comunicaciones;7;7;7;5;7;7;8;8;7
